index,defect_type,steel_type,Название СС,Dout,t,T,p,Nz,Mx,My,dva_c_max,sig_b,sig_m,dva_cc,2cc<2cmax,usability
0,Кольцевой дефект,Сталь 20,208,0.273,0.016,285,6900000.0,10000.0,6940.0,-13507.0,0.4288273972150068,19.435045376631365,25.139305413871085,0.40908909990601205,True,False
1,Кольцевой дефект,Сталь 20,210,0.273,0.016,285,6900000.0,12000.0,-4112.0,-6554.0,0.4288273972150068,9.902259888337468,25.294125397423514,0.4272972441522391,True,False
2,Кольцевой дефект,Сталь 20,227,0.273,0.016,285,6900000.0,12000.0,5841.0,-4882.0,0.4288273972150068,9.742819315107287,25.294125397423514,0.4276235252118686,True,False
6,Кольцевой дефект,Сталь 20,32,0.325,0.019,285,6900000.0,13835.0,5973.0,3996.0,0.5105088062083414,5.462465007693153,25.196137302262276,0.5203336949379921,False,False
7,Кольцевой дефект,Сталь 20,6,0.325,0.019,285,6900000.0,18070.0,-8157.0,-728.0,0.5105088062083414,6.224849431364032,25.427998734664815,0.5173878202241773,False,False
8,Кольцевой дефект,Сталь 20,445,0.325,0.019,285,6900000.0,18545.0,1147.0,-4866.0,0.5105088062083414,3.800053427144941,25.454004444320354,0.5234479037977895,False,False
12,Кольцевой дефект,Cталь 16ГС,311a,0.426,0.024,285,6900000.0,-3574.0,2289.0,-35.0,0.669159235214626,0.7963919702556395,25.664649619944132,0.6984916754462209,False,False
13,Кольцевой дефект,Сталь 20,311b,0.426,0.024,285,6900000.0,-1250.0,12352.0,-19076.0,0.669159235214626,7.9058951511659155,25.587975472401517,0.6750173613361045,False,False
14,Кольцевой дефект,Сталь 20,349a,0.426,0.024,285,6900000.0,-5130.0,-4253.0,3189.0,0.669159235214626,1.849264158012247,25.715985667094007,0.6945298870389799,False,False
